SEB,SWED,SHB,Rate
1570,4135,3935,2.3
1532,3824,3162,2.3
1766,3346,13955,2.6
2509,3691,6617,2.5
8863,3692,3716,3
1833,3365,7572,3.3
1376,4522,4697,3.2
1512,4121,8469,3.4
4353,3219,6810,3.5
10172,3381,6709,2.8
6010,3179,6295,1.8
10169,8547,64775,1.6
1351,3459,10158,2.1
5763,13077,28795,2.3
1166,3015,57415,1.9
1293,5740,27805,1.8
1352,3422,30304,1.4
5286,3915,72766,1.2
4092,4257,9775,1.4
4771,3951,45183,1.5
5999,4030,97997,1.1
3326,3503,90841,1.5
1538,5341,19879,2
21815,4637,49681,2.4
8493,3146,81762,2.3
4208,4015,93667,2.4
10800,4912,122551,2.2
7780,2979,65997,1.9
7135,5319,98871,2.1
2566,3712,122263,1.9
14857,3893,96501,1.7
1134,4144,87309,1.5
5552,3698,75626,1.8
1792,5015,95137,1.8
2551,2887,57883,1.9
19942,4704,56346,2.3
16417,2417,122228,1.4
2111,7181,135847,1.3
5721,3196,163180,1.5
8048,3020,156691,1.8
12800,3635,163133,1.7
80566,3660,166788,1.5
46005,6950,121823,1.6
70409,4219,209822,1.6
83467,84740,261860,1.5
75010,85003,211615,1.1
72981,159996,248786,1.1
121947,154392,251592,0.5
82673,157998,194835,0.9
74290,136551,235420,1.1
20430,163355,225505,1.1
64728,119979,176233,1
102690,105409,181818,0.9
66685,125231,272356,0.9
115294,184611,332016,0.8
77655,163786,256242,0.9
101726,202950,341089,0.9
95012,127837,286511,1.1
137654,192040,241093,0.8
165994,109863,236447,1
173106,206292,250620,1
161267,191134,291736,0.9
197139,196279,219496,0.9
173617,187250,328409,0.5
200663,196233,301780,0.7
197558,182795,211158,0.9
200382,176827,298751,1.2
197589,183843,321723,1.2
226497,115078,345023,0.9
223134,185849,323774,0.6
217324,185824,329912,0.7
135308,32418,334794,0.8
208329,185354,355029,0.4
229642,188120,337687,0.4
231008,111423,367464,0
231654,222699,372589,0.5
237722,241639,365208,0.4
173638,151619,417306,0.8
236770,221210,413891,0.6
229924,223459,404766,0.5
267948,149150,399457,0.3
314529,304718,403348,0.6
337072,232071,409006,0.6
59402,73796,454532,0.5
322108,323884,457566,0.6
329760,341538,432586,0.9
166113,220771,498865,0.9
236891,339748,460666,0.7
341436,364543,434583,1
139744,203643,447289,0.6
337956,312232,459354,0.9
356790,372657,458151,0.8
116627,230339,452271,1
353052,339052,456179,1.1
364812,304951,445990,1
55671,131852,202630,0.9
401807,238928,428769,1.6
419540,352916,470270,1.1
126904,293611,463957,1.5
421411,307620,460471,1.4
441249,322261,449705,1.1
125747,310756,501696,1.5
352153,346123,495479,1.4
405099,328847,470742,1.4
227463,207085,353680,1.2
262797,172273,384914,1.4
245087,168667,389812,1.6
70648,46050,199362,1.9
345918,183577,368070,1.6
343039,301563,395324,2
286061,331067,387092,1.5
303470,363124,427064,2
389968,378552,380023,1.9
196967,320457,436848,1.9
358508,296582,425528,2.4
350223,302957,419503,2.3
395775,267844,377821,2.3
366750,342407,399687,1.8
372329,305014,389501,2
97710,134567,226314,1.9
322035,330556,376857,1.7
286917,343627,377918,1.7
233809,303724,277026,2
402024,338472,328362,1.9
327162,291657,380313,2.1
291852,356312,375258,2.2
308382,383076,370424,2.2
241666,308093,411968,2.2
248188,220404,357454,2.5
275847,229201,333656,2.4
307578,219303,363910,2.1
163988,76456,243740,2.2
242786,265914,194988,2
350008,263215,241324,1.9
266182,159475,266460,1.8
219359,146008,234043,2
134071,172767,240342,2.1
137580,173804,187697,1.7
140892,187966,235370,1.5
153378,216787,234610,1.3
